Subject,courseNo,courseName,year,term,primaryInstructor,aPlus,a,aMinus,bPlus,b,bMinus,cPlus,c,cMinus,dPlus,d,dMinus,f,courseDesc
CS,101,Intro Computing: Engrg & Sci,2016,Fall,"Davis, Neal E",93,154,124,67,72,36,39,26,11,10,15,14,21,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. "
CS,101,Intro Computing: Engrg & Sci,2016,Spring,"Cunningham, Ryan M",6,341,78,65,96,14,13,33,11,0,15,0,16,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. "
CS,101,Intro Computing: Engrg & Sci,2017,Fall,"Davis, Neal E",439,90,43,30,19,16,5,9,6,1,9,0,14,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. "
CS,101,Intro Computing: Engrg & Sci,2017,Spring,"Davis, Neal E",239,159,72,61,44,24,9,12,9,7,2,4,15,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. "
CS,101,Intro Computing: Engrg & Sci,2018,Fall,"Davis, Neal E",263,162,72,59,40,16,12,11,5,8,7,6,11,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. "
CS,101,Intro Computing: Engrg & Sci,2018,Spring,"Davis, Neal E",360,128,67,37,25,14,16,12,12,2,5,3,8,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. "
CS,101,Intro Computing: Engrg & Sci,2019,Spring,"Davis, Neal E",320,158,75,42,22,20,12,7,11,2,8,7,10,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. "
CS,105,Intro Computing: Non-Tech,2010,Fall,"Gambill, Thomas N",45,169,102,71,119,81,70,110,19,5,11,7,8,"Computing as an essential tool of academic and professional activities. Functions and interrelationships of computer system components: hardware, systems and applications software, and networks. Widely used application packages such as spreadsheets and databases. Concepts and practice of programming for the solution of simple problems in different application areas. Intended for non-science and non-engineering majors. "
CS,105,Intro Computing: Non-Tech,2010,Spring,"Bhagath, Aditya",1,11,1,1,5,3,1,1,0,1,1,1,0,"Computing as an essential tool of academic and professional activities. Functions and interrelationships of computer system components: hardware, systems and applications software, and networks. Widely used application packages such as spreadsheets and databases. Concepts and practice of programming for the solution of simple problems in different application areas. Intended for non-science and non-engineering majors. "
CS,105,Intro Computing: Non-Tech,2010,Spring,"Charalambides, Minas",9,11,11,7,13,6,7,3,6,2,2,0,0,"Computing as an essential tool of academic and professional activities. Functions and interrelationships of computer system components: hardware, systems and applications software, and networks. Widely used application packages such as spreadsheets and databases. Concepts and practice of programming for the solution of simple problems in different application areas. Intended for non-science and non-engineering majors. "
CS,105,Intro Computing: Non-Tech,2010,Spring,"Chen, Yi-Shuan",8,20,15,9,6,3,5,5,4,1,3,1,1,"Computing as an essential tool of academic and professional activities. Functions and interrelationships of computer system components: hardware, systems and applications software, and networks. Widely used application packages such as spreadsheets and databases. Concepts and practice of programming for the solution of simple problems in different application areas. Intended for non-science and non-engineering majors. "
CS,105,Intro Computing: Non-Tech,2010,Spring,"Date, Chaitanya P",5,11,12,10,11,4,6,0,3,1,0,1,0,"Computing as an essential tool of academic and professional activities. Functions and interrelationships of computer system components: hardware, systems and applications software, and networks. Widely used application packages such as spreadsheets and databases. Concepts and practice of programming for the solution of simple problems in different application areas. Intended for non-science and non-engineering majors. "
CS,105,Intro Computing: Non-Tech,2010,Spring,"Hsiao, Christopher R",3,20,11,10,6,4,5,6,6,4,0,0,1,"Computing as an essential tool of academic and professional activities. Functions and interrelationships of computer system components: hardware, systems and applications software, and networks. Widely used application packages such as spreadsheets and databases. Concepts and practice of programming for the solution of simple problems in different application areas. Intended for non-science and non-engineering majors. "
CS,105,Intro Computing: Non-Tech,2010,Spring,"Mitchell, Damion R",4,16,9,8,6,0,7,1,6,2,1,1,1,"Computing as an essential tool of academic and professional activities. Functions and interrelationships of computer system components: hardware, systems and applications software, and networks. Widely used application packages such as spreadsheets and databases. Concepts and practice of programming for the solution of simple problems in different application areas. Intended for non-science and non-engineering majors. "
CS,105,Intro Computing: Non-Tech,2010,Spring,"Saharan, Ankit",8,15,11,10,10,3,1,3,2,2,0,1,1,"Computing as an essential tool of academic and professional activities. Functions and interrelationships of computer system components: hardware, systems and applications software, and networks. Widely used application packages such as spreadsheets and databases. Concepts and practice of programming for the solution of simple problems in different application areas. Intended for non-science and non-engineering majors. "
CS,105,Intro Computing: Non-Tech,2010,Spring,"Ved, Ankeeth S",6,15,8,13,10,6,6,5,4,2,1,1,0,"Computing as an essential tool of academic and professional activities. Functions and interrelationships of computer system components: hardware, systems and applications software, and networks. Widely used application packages such as spreadsheets and databases. Concepts and practice of programming for the solution of simple problems in different application areas. Intended for non-science and non-engineering majors. "
CS,105,Intro Computing: Non-Tech,2010,Spring,"Yuttanan, Boonrod",1,2,5,3,5,1,7,4,4,1,0,0,1,"Computing as an essential tool of academic and professional activities. Functions and interrelationships of computer system components: hardware, systems and applications software, and networks. Widely used application packages such as spreadsheets and databases. Concepts and practice of programming for the solution of simple problems in different application areas. Intended for non-science and non-engineering majors. "
CS,105,Intro Computing: Non-Tech,2010,Spring,"Zutshi, Aditya",2,9,11,15,11,6,8,3,7,2,3,1,3,"Computing as an essential tool of academic and professional activities. Functions and interrelationships of computer system components: hardware, systems and applications software, and networks. Widely used application packages such as spreadsheets and databases. Concepts and practice of programming for the solution of simple problems in different application areas. Intended for non-science and non-engineering majors. "
CS,105,Intro Computing: Non-Tech,2011,Fall,"Gambill, Thomas N",129,147,106,96,124,70,40,48,18,15,22,7,10,"Computing as an essential tool of academic and professional activities. Functions and interrelationships of computer system components: hardware, systems and applications software, and networks. Widely used application packages such as spreadsheets and databases. Concepts and practice of programming for the solution of simple problems in different application areas. Intended for non-science and non-engineering majors. "
CS,105,Intro Computing: Non-Tech,2011,Spring,"Lauterburg, Steven T",30,86,66,53,88,45,40,47,17,5,18,3,14,"Computing as an essential tool of academic and professional activities. Functions and interrelationships of computer system components: hardware, systems and applications software, and networks. Widely used application packages such as spreadsheets and databases. Concepts and practice of programming for the solution of simple problems in different application areas. Intended for non-science and non-engineering majors. "
CS,105,Intro Computing: Non-Tech,2012,Fall,"Zhao, Kai",52,193,170,144,122,62,45,34,15,9,4,1,2,"Computing as an essential tool of academic and professional activities. Functions and interrelationships of computer system components: hardware, systems and applications software, and networks. Widely used application packages such as spreadsheets and databases. Concepts and practice of programming for the solution of simple problems in different application areas. Intended for non-science and non-engineering majors. "
CS,105,Intro Computing: Non-Tech,2013,Fall,"Zhao, Kai",67,145,136,103,138,62,33,0,49,11,9,4,11,"Computing as an essential tool of academic and professional activities. Functions and interrelationships of computer system components: hardware, systems and applications software, and networks. Widely used application packages such as spreadsheets and databases. Concepts and practice of programming for the solution of simple problems in different application areas. Intended for non-science and non-engineering majors. "
CS,105,Intro Computing: Non-Tech,2013,Spring,"Zhao, Kai",59,181,86,84,80,34,27,21,5,7,4,0,5,"Computing as an essential tool of academic and professional activities. Functions and interrelationships of computer system components: hardware, systems and applications software, and networks. Widely used application packages such as spreadsheets and databases. Concepts and practice of programming for the solution of simple problems in different application areas. Intended for non-science and non-engineering majors. "
CS,105,Intro Computing: Non-Tech,2014,Fall,"Fagen, Wade A",77,169,135,106,133,67,36,45,22,13,17,2,14,"Computing as an essential tool of academic and professional activities. Functions and interrelationships of computer system components: hardware, systems and applications software, and networks. Widely used application packages such as spreadsheets and databases. Concepts and practice of programming for the solution of simple problems in different application areas. Intended for non-science and non-engineering majors. "
CS,105,Intro Computing: Non-Tech,2014,Spring,"Fagen, Wade A",35,82,62,70,59,35,32,23,8,7,5,5,6,"Computing as an essential tool of academic and professional activities. Functions and interrelationships of computer system components: hardware, systems and applications software, and networks. Widely used application packages such as spreadsheets and databases. Concepts and practice of programming for the solution of simple problems in different application areas. Intended for non-science and non-engineering majors. "
CS,105,Intro Computing: Non-Tech,2015,Fall,"Fagen, Wade A",268,237,111,87,81,36,22,12,9,8,4,1,9,"Computing as an essential tool of academic and professional activities. Functions and interrelationships of computer system components: hardware, systems and applications software, and networks. Widely used application packages such as spreadsheets and databases. Concepts and practice of programming for the solution of simple problems in different application areas. Intended for non-science and non-engineering majors. "
CS,105,Intro Computing: Non-Tech,2015,Spring,"Fagen, Wade A",60,101,61,40,52,41,25,24,10,6,2,1,8,"Computing as an essential tool of academic and professional activities. Functions and interrelationships of computer system components: hardware, systems and applications software, and networks. Widely used application packages such as spreadsheets and databases. Concepts and practice of programming for the solution of simple problems in different application areas. Intended for non-science and non-engineering majors. "
CS,105,Intro Computing: Non-Tech,2016,Fall,"Hellwig, Martin",125,191,109,87,76,25,15,8,6,4,2,1,11,"Computing as an essential tool of academic and professional activities. Functions and interrelationships of computer system components: hardware, systems and applications software, and networks. Widely used application packages such as spreadsheets and databases. Concepts and practice of programming for the solution of simple problems in different application areas. Intended for non-science and non-engineering majors. "
CS,105,Intro Computing: Non-Tech,2016,Spring,"Hellwig, Martin",161,135,86,49,34,15,11,3,4,1,1,0,8,"Computing as an essential tool of academic and professional activities. Functions and interrelationships of computer system components: hardware, systems and applications software, and networks. Widely used application packages such as spreadsheets and databases. Concepts and practice of programming for the solution of simple problems in different application areas. Intended for non-science and non-engineering majors. "
CS,105,Intro Computing: Non-Tech,2017,Fall,"Harris, Albert F",40,157,204,0,100,0,0,15,0,0,4,0,8,"Computing as an essential tool of academic and professional activities. Functions and interrelationships of computer system components: hardware, systems and applications software, and networks. Widely used application packages such as spreadsheets and databases. Concepts and practice of programming for the solution of simple problems in different application areas. Intended for non-science and non-engineering majors. "
CS,105,Intro Computing: Non-Tech,2017,Spring,"Haberman, Michael",184,130,64,42,41,21,11,14,1,5,9,1,21,"Computing as an essential tool of academic and professional activities. Functions and interrelationships of computer system components: hardware, systems and applications software, and networks. Widely used application packages such as spreadsheets and databases. Concepts and practice of programming for the solution of simple problems in different application areas. Intended for non-science and non-engineering majors. "
CS,105,Intro Computing: Non-Tech,2018,Fall,"Harris, Albert F",124,95,66,56,46,31,25,24,12,0,14,0,7,"Computing as an essential tool of academic and professional activities. Functions and interrelationships of computer system components: hardware, systems and applications software, and networks. Widely used application packages such as spreadsheets and databases. Concepts and practice of programming for the solution of simple problems in different application areas. Intended for non-science and non-engineering majors. "
CS,105,Intro Computing: Non-Tech,2018,Spring,"Harris, Albert F",43,134,115,60,45,50,19,16,20,0,18,0,13,"Computing as an essential tool of academic and professional activities. Functions and interrelationships of computer system components: hardware, systems and applications software, and networks. Widely used application packages such as spreadsheets and databases. Concepts and practice of programming for the solution of simple problems in different application areas. Intended for non-science and non-engineering majors. "
CS,105,Intro Computing: Non-Tech,2019,Spring,"Harris, Albert F",216,189,39,35,48,13,7,16,2,1,12,4,2,"Computing as an essential tool of academic and professional activities. Functions and interrelationships of computer system components: hardware, systems and applications software, and networks. Widely used application packages such as spreadsheets and databases. Concepts and practice of programming for the solution of simple problems in different application areas. Intended for non-science and non-engineering majors. "
CS,125,Intro to Computer Science,2010,Fall,"Angrave, Lawrence C",73,66,59,33,4,10,11,9,14,1,1,8,9,Basic concepts in computing and fundamental techniques for solving computational problems. Intended as a first course for computer science majors and others with a deep interest in computing. 
CS,125,Intro to Computer Science,2010,Spring,"Fogla, Navin",1,6,5,0,0,2,1,2,3,0,0,2,2,Basic concepts in computing and fundamental techniques for solving computational problems. Intended as a first course for computer science majors and others with a deep interest in computing. 
CS,125,Intro to Computer Science,2010,Spring,"Nagaraja, Sharat",6,16,9,11,2,7,8,4,2,1,0,0,0,Basic concepts in computing and fundamental techniques for solving computational problems. Intended as a first course for computer science majors and others with a deep interest in computing. 
CS,125,Intro to Computer Science,2010,Spring,"Somnath, Nisha",5,5,4,1,2,2,1,1,3,2,0,1,1,Basic concepts in computing and fundamental techniques for solving computational problems. Intended as a first course for computer science majors and others with a deep interest in computing. 
CS,125,Intro to Computer Science,2011,Fall,"Angrave, Lawrence C",70,79,73,33,16,13,11,13,12,0,7,0,22,Basic concepts in computing and fundamental techniques for solving computational problems. Intended as a first course for computer science majors and others with a deep interest in computing. 
CS,125,Intro to Computer Science,2011,Spring,"Angrave, Lawrence C",27,41,31,26,4,16,8,9,10,0,8,0,9,Basic concepts in computing and fundamental techniques for solving computational problems. Intended as a first course for computer science majors and others with a deep interest in computing. 
CS,125,Intro to Computer Science,2012,Fall,"Angrave, Lawrence C",36,63,81,41,37,20,19,25,22,0,11,0,20,Basic concepts in computing and fundamental techniques for solving computational problems. Intended as a first course for computer science majors and others with a deep interest in computing. 
CS,125,Intro to Computer Science,2013,Fall,"Zilles, Craig",28,131,35,35,68,20,14,27,11,0,13,11,13,Basic concepts in computing and fundamental techniques for solving computational problems. Intended as a first course for computer science majors and others with a deep interest in computing. 
CS,125,Intro to Computer Science,2013,Spring,"Angrave, Lawrence C",47,88,50,36,23,16,14,28,10,0,10,1,16,Basic concepts in computing and fundamental techniques for solving computational problems. Intended as a first course for computer science majors and others with a deep interest in computing. 
CS,125,Intro to Computer Science,2014,Fall,"Chapman, William L",137,129,29,21,33,10,6,17,2,0,0,1,8,Basic concepts in computing and fundamental techniques for solving computational problems. Intended as a first course for computer science majors and others with a deep interest in computing. 
CS,125,Intro to Computer Science,2014,Spring,"Angrave, Lawrence C",60,109,38,53,28,19,15,15,16,0,10,0,13,Basic concepts in computing and fundamental techniques for solving computational problems. Intended as a first course for computer science majors and others with a deep interest in computing. 
CS,125,Intro to Computer Science,2015,Fall,"Chapman, William L",152,170,42,44,49,15,34,41,4,6,1,1,12,Basic concepts in computing and fundamental techniques for solving computational problems. Intended as a first course for computer science majors and others with a deep interest in computing. 
CS,125,Intro to Computer Science,2015,Spring,"Chapman, William L",122,152,65,47,63,17,29,39,12,8,3,5,7,Basic concepts in computing and fundamental techniques for solving computational problems. Intended as a first course for computer science majors and others with a deep interest in computing. 
CS,125,Intro to Computer Science,2016,Fall,"Chapman, William L",103,178,78,34,63,49,36,27,9,3,1,3,3,Basic concepts in computing and fundamental techniques for solving computational problems. Intended as a first course for computer science majors and others with a deep interest in computing. 
CS,125,Intro to Computer Science,2016,Spring,"Chapman, William L",108,184,59,42,70,13,37,26,7,3,4,1,9,Basic concepts in computing and fundamental techniques for solving computational problems. Intended as a first course for computer science majors and others with a deep interest in computing. 
CS,125,Intro to Computer Science,2017,Fall,"Angrave, Lawrence C",19,264,77,68,45,43,68,35,24,0,24,0,17,Basic concepts in computing and fundamental techniques for solving computational problems. Intended as a first course for computer science majors and others with a deep interest in computing. 
CS,125,Intro to Computer Science,2017,Spring,"Chapman, William L",77,141,61,30,68,40,36,36,29,6,4,1,3,Basic concepts in computing and fundamental techniques for solving computational problems. Intended as a first course for computer science majors and others with a deep interest in computing. 
CS,125,Intro to Computer Science,2018,Fall,"Challen, Geoffrey W",143,389,53,34,32,19,8,7,8,0,14,0,20,Basic concepts in computing and fundamental techniques for solving computational problems. Intended as a first course for computer science majors and others with a deep interest in computing. 
CS,125,Intro to Computer Science,2018,Spring,"Challen, Geoffrey W",56,169,40,43,33,19,16,10,8,0,9,0,10,Basic concepts in computing and fundamental techniques for solving computational problems. Intended as a first course for computer science majors and others with a deep interest in computing. 
CS,125,Intro to Computer Science,2019,Spring,"Challen, Geoffrey W",55,223,39,20,32,13,4,9,2,0,18,0,21,Basic concepts in computing and fundamental techniques for solving computational problems. Intended as a first course for computer science majors and others with a deep interest in computing. 
CS,126,Software Design Studio,2016,Fall,"Zilles, Craig",4,23,0,3,1,1,1,0,1,0,0,0,0,"Fundamental principles and techniques of software development. Design, documentation, testing, and debugging software, with a significant emphasis on code review. "
CS,126,Software Design Studio,2017,Fall,"Zilles, Craig",22,23,18,10,18,3,6,5,2,0,1,0,3,"Fundamental principles and techniques of software development. Design, documentation, testing, and debugging software, with a significant emphasis on code review. "
CS,126,Software Design Studio,2017,Spring,"Angrave, Lawrence C",36,47,58,47,20,20,10,6,6,3,0,1,7,"Fundamental principles and techniques of software development. Design, documentation, testing, and debugging software, with a significant emphasis on code review. "
CS,126,Software Design Studio,2018,Fall,"Evans, Graham C",6,51,23,9,8,4,2,0,0,0,0,0,7,"Fundamental principles and techniques of software development. Design, documentation, testing, and debugging software, with a significant emphasis on code review. "
CS,126,Software Design Studio,2018,Spring,"Evans, Graham C",54,92,42,34,13,8,4,1,0,0,0,0,14,"Fundamental principles and techniques of software development. Design, documentation, testing, and debugging software, with a significant emphasis on code review. "
CS,126,Software Design Studio,2019,Spring,"Evans, Graham C",17,116,81,44,23,9,2,4,4,0,0,0,13,"Fundamental principles and techniques of software development. Design, documentation, testing, and debugging software, with a significant emphasis on code review. "
CS,173,Discrete Structures,2010,Fall,"Fleck, Margaret M",5,9,23,16,13,18,17,8,19,11,7,12,7,"Discrete mathematical structures frequently encountered in the study of Computer Science. Sets, propositions, Boolean algebra, induction, recursion, relations, functions, and graphs. Credit is not given for both CS 173 and MATH 213.  "
CS,173,Discrete Structures,2010,Spring,"Cook, Lucas T",7,5,4,7,2,3,2,5,6,4,3,0,1,"Discrete mathematical structures frequently encountered in the study of Computer Science. Sets, propositions, Boolean algebra, induction, recursion, relations, functions, and graphs. Credit is not given for both CS 173 and MATH 213.  "
CS,173,Discrete Structures,2010,Spring,"Fanek, Samer R",4,3,1,6,4,7,8,7,7,1,0,1,3,"Discrete mathematical structures frequently encountered in the study of Computer Science. Sets, propositions, Boolean algebra, induction, recursion, relations, functions, and graphs. Credit is not given for both CS 173 and MATH 213.  "
CS,173,Discrete Structures,2010,Spring,"Li, Chen",0,8,5,3,5,4,6,8,5,3,3,2,0,"Discrete mathematical structures frequently encountered in the study of Computer Science. Sets, propositions, Boolean algebra, induction, recursion, relations, functions, and graphs. Credit is not given for both CS 173 and MATH 213.  "
CS,173,Discrete Structures,2010,Spring,"Pittman, Lance C",3,0,3,2,4,4,4,4,0,2,2,0,0,"Discrete mathematical structures frequently encountered in the study of Computer Science. Sets, propositions, Boolean algebra, induction, recursion, relations, functions, and graphs. Credit is not given for both CS 173 and MATH 213.  "
CS,173,Discrete Structures,2011,Fall,"Fleck, Margaret M",14,25,16,29,22,17,14,17,15,8,9,7,4,"Discrete mathematical structures frequently encountered in the study of Computer Science. Sets, propositions, Boolean algebra, induction, recursion, relations, functions, and graphs. Credit is not given for both CS 173 and MATH 213.  "
CS,173,Discrete Structures,2011,Spring,"Fleck, Margaret M",12,30,21,37,28,18,30,26,20,15,16,4,30,"Discrete mathematical structures frequently encountered in the study of Computer Science. Sets, propositions, Boolean algebra, induction, recursion, relations, functions, and graphs. Credit is not given for both CS 173 and MATH 213.  "
CS,173,Discrete Structures,2012,Fall,"Fleck, Margaret M",20,46,34,42,51,32,33,31,21,18,13,7,8,"Discrete mathematical structures frequently encountered in the study of Computer Science. Sets, propositions, Boolean algebra, induction, recursion, relations, functions, and graphs. Credit is not given for both CS 173 and MATH 213.  "
CS,173,Discrete Structures,2012,Spring,"Pittman, Lance C",1,0,8,5,2,8,4,0,1,0,0,1,0,"Discrete mathematical structures frequently encountered in the study of Computer Science. Sets, propositions, Boolean algebra, induction, recursion, relations, functions, and graphs. Credit is not given for both CS 173 and MATH 213.  "
CS,173,Discrete Structures,2013,Fall,"Fleck, Margaret M",18,40,29,43,40,32,26,29,25,8,8,6,13,"Discrete mathematical structures frequently encountered in the study of Computer Science. Sets, propositions, Boolean algebra, induction, recursion, relations, functions, and graphs. Credit is not given for both CS 173 and MATH 213.  "
CS,173,Discrete Structures,2013,Fall,"Parthasarathy, Madhusudan",1,6,1,3,6,1,4,1,5,1,1,0,0,"Discrete mathematical structures frequently encountered in the study of Computer Science. Sets, propositions, Boolean algebra, induction, recursion, relations, functions, and graphs. Credit is not given for both CS 173 and MATH 213.  "
